username,group,temp_pass,tagKey,tagValue
adolfo.carlos,DBA,MeMudar123456!,MATRICULA,00002
aguinaldo.balsemao,RedesAdmin,MeMudar123456!,MATRICULA,00003
alda.lage,CloudAdmin,MeMudar123456!,MATRICULA,00004
amelia.penteado,LinuxAdmin,MeMudar123456!,MATRICULA,00005
anacleto.abrantes,DBA,MeMudar123456!,MATRICULA,00006
angelino.marinho,DBA,MeMudar123456!,MATRICULA,00007
arachane.dinis,DBA,MeMudar123456!,MATRICULA,00008
armando.pirassununga,DBA,MeMudar123456!,MATRICULA,00009
astolfo.cerveira,DBA,MeMudar123456!,MATRICULA,00010
augusta.gusmao,DBA,MeMudar123456!,MATRICULA,00011
boaventura.trindade,DBA,MeMudar123456!,MATRICULA,00012
bras.vides,DBA,MeMudar123456!,MATRICULA,00013
bruna.muniz,DBA,MeMudar123456!,MATRICULA,00014
capitolina.garrido,DBA,MeMudar123456!,MATRICULA,00015
carina.salles,DBA,MeMudar123456!,MATRICULA,00016
caua.setubal,DBA,MeMudar123456!,MATRICULA,00017
celeste.moreira,DBA,MeMudar123456!,MATRICULA,00018
celso.torres,DBA,MeMudar123456!,MATRICULA,00019
cesar.matos,LinuxAdmin,MeMudar123456!,MATRICULA,00020
cleiton.frois,DBA,MeMudar123456!,MATRICULA,00021
cristiana.dornelles,DBA,MeMudar123456!,MATRICULA,00022
debora.ferreyra,LinuxAdmin,MeMudar123456!,MATRICULA,00023
deolindo.ourique,LinuxAdmin,MeMudar123456!,MATRICULA,00024
diamantino.raposo,LinuxAdmin,MeMudar123456!,MATRICULA,00025
donato.gama,LinuxAdmin,MeMudar123456!,MATRICULA,00026
doroteia.robalo,LinuxAdmin,MeMudar123456!,MATRICULA,00027
egas.malta,LinuxAdmin,MeMudar123456!,MATRICULA,00028
emiliana.bicudo,LinuxAdmin,MeMudar123456!,MATRICULA,00029
esperanca.carrasco,LinuxAdmin,MeMudar123456!,MATRICULA,00030
eudes.bogado,LinuxAdmin,MeMudar123456!,MATRICULA,00031
fausto.doutel,LinuxAdmin,MeMudar123456!,MATRICULA,00032
filipa.holanda,LinuxAdmin,MeMudar123456!,MATRICULA,00033
filipe.henriques,LinuxAdmin,MeMudar123456!,MATRICULA,00034
gil.pinhal,LinuxAdmin,MeMudar123456!,MATRICULA,00035
gilda.maior,LinuxAdmin,MeMudar123456!,MATRICULA,00036
giovana.carballo,LinuxAdmin,MeMudar123456!,MATRICULA,00037
glauber.feijo,LinuxAdmin,MeMudar123456!,MATRICULA,00038
glaucia.pitangui,LinuxAdmin,MeMudar123456!,MATRICULA,00039
godofredo.carvalhal,LinuxAdmin,MeMudar123456!,MATRICULA,00040
goncalo.balladares,LinuxAdmin,MeMudar123456!,MATRICULA,00041
graciano.vianna,LinuxAdmin,MeMudar123456!,MATRICULA,00042
gui.maior,LinuxAdmin,MeMudar123456!,MATRICULA,00043
guterre.milheiro,LinuxAdmin,MeMudar123456!,MATRICULA,00044
guterre.pastana,LinuxAdmin,MeMudar123456!,MATRICULA,00045
hedviges.velasquez,LinuxAdmin,MeMudar123456!,MATRICULA,00046
helena.acatauacu,LinuxAdmin,MeMudar123456!,MATRICULA,00047
hermigio.rosa,LinuxAdmin,MeMudar123456!,MATRICULA,00048
ibijara.capiperibe,RedesAdmin,MeMudar123456!,MATRICULA,00049
ifigenia.homem,RedesAdmin,MeMudar123456!,MATRICULA,00050
iracema.bento,RedesAdmin,MeMudar123456!,MATRICULA,00051
jandaira.escobar,RedesAdmin,MeMudar123456!,MATRICULA,00052
jeremias.paula,RedesAdmin,MeMudar123456!,MATRICULA,00053
lavinia.delgado,RedesAdmin,MeMudar123456!,MATRICULA,00054
ligia.palhares,RedesAdmin,MeMudar123456!,MATRICULA,00055
lino.belmonte,RedesAdmin,MeMudar123456!,MATRICULA,00056
